From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Gene Ontology (biological process)	Gene Ontology IDs	Keywords	Gene Ontology (cellular component)	Gene Ontology (molecular function)
Q86BA1	Q86BA1	reviewed	MICAL_DROME	[F-actin]-monooxygenase Mical (EC 1.14.13.225) (Molecule interacting with CasL protein homolog)	Mical CG33208	Drosophila melanogaster (Fruit fly)	actin filament depolymerization [GO:0030042]; actin filament organization [GO:0007015]; actin modification [GO:0030047]; axon guidance [GO:0007411]; dendrite morphogenesis [GO:0048813]; neuron remodeling [GO:0016322]; regulation of neuron remodeling [GO:1904799]; sarcomere organization [GO:0045214]; skeletal muscle thin filament assembly [GO:0030240]; synapse assembly involved in innervation [GO:0060386]	GO:0003779; GO:0005829; GO:0007015; GO:0007411; GO:0016322; GO:0016709; GO:0030042; GO:0030047; GO:0030240; GO:0043195; GO:0045214; GO:0046872; GO:0048813; GO:0060386; GO:0071949; GO:1904799	Actin-binding;Alternative splicing;Cytoplasm;FAD;Flavoprotein;Leucine-rich repeat;LIM domain;Metal-binding;Monooxygenase;NADP;Oxidoreductase;Phosphoprotein;Reference proteome;Repeat;Zinc	cytosol [GO:0005829]; terminal bouton [GO:0043195]	actin binding [GO:0003779]; FAD binding [GO:0071949]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]
P0C6R2	P0C6R2	reviewed	ARMC2_BOVIN	Armadillo repeat-containing protein 2	ARMC2	Bos taurus (Bovine)	cilium organization [GO:0044782]; sperm axoneme assembly [GO:0007288]	GO:0007288; GO:0044782	Differentiation;Reference proteome;Repeat;Spermatogenesis		
Q9W4E2	Q9W4E2	reviewed	NBEA_DROME	Neurobeachin (A-kinase anchor protein 550) (AKAP 550) (Protein rugose) (dAKAP550)	rg Akap550 CG44835	Drosophila melanogaster (Fruit fly)	compound eye cone cell differentiation [GO:0042675]; eye photoreceptor cell development [GO:0042462]; mushroom body development [GO:0016319]; neuromuscular junction development [GO:0007528]; olfactory learning [GO:0008355]; protein localization [GO:0008104]; short-term memory [GO:0007614]	GO:0005737; GO:0005829; GO:0007528; GO:0007614; GO:0008104; GO:0008355; GO:0016020; GO:0016319; GO:0019901; GO:0042462; GO:0042675; GO:0043025; GO:0043204; GO:0051018	Alternative splicing;Cytoplasm;Membrane;Reference proteome;Repeat;WD repeat	cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; neuronal cell body [GO:0043025]; perikaryon [GO:0043204]	protein kinase A binding [GO:0051018]; protein kinase binding [GO:0019901]
Q80VJ4	Q80VJ4	reviewed	GPCP1_RAT	Glycerophosphocholine phosphodiesterase GPCPD1 (EC 3.1.4.2) (Glycerophosphodiester phosphodiesterase 5)	Gpcpd1 Gde5	Rattus norvegicus (Rat)	glycerophospholipid catabolic process [GO:0046475]; skeletal muscle tissue development [GO:0007519]	GO:0005737; GO:0005829; GO:0007519; GO:0046475; GO:0047389; GO:2001070	Cytoplasm;Hydrolase;Phosphoprotein;Reference proteome	cytoplasm [GO:0005737]; cytosol [GO:0005829]	glycerophosphocholine phosphodiesterase activity [GO:0047389]; starch binding [GO:2001070]
P10076	P10076	reviewed	ZFP26_MOUSE	Zinc finger protein 26 (Zfp-26) (Protein mKR3)	Zfp26 Kiaa4196 Mkr3 Zfp-26	Mus musculus (Mouse)	regulation of transcription by RNA polymerase II [GO:0006357]	GO:0000978; GO:0001228; GO:0005634; GO:0006357; GO:0046872	DNA-binding;Metal-binding;Nucleus;Reference proteome;Repeat;Zinc;Zinc-finger	nucleus [GO:0005634]	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]
Q4V8C3	Q4V8C3	reviewed	EMAL1_RAT	Echinoderm microtubule-associated protein-like 1 (EMAP-1)	Eml1	Rattus norvegicus (Rat)	brain development [GO:0007420]; hematopoietic progenitor cell differentiation [GO:0002244]; microtubule cytoskeleton organization [GO:0000226]; mitotic spindle organization [GO:0007052]; neuroblast proliferation [GO:0007405]	GO:0000226; GO:0002244; GO:0005829; GO:0005874; GO:0007052; GO:0007405; GO:0007420; GO:0008017; GO:0015631; GO:0048471	Alternative splicing;Coiled coil;Cytoplasm;Cytoskeleton;Microtubule;Phosphoprotein;Reference proteome;Repeat;WD repeat	cytosol [GO:0005829]; microtubule [GO:0005874]; perinuclear region of cytoplasm [GO:0048471]	microtubule binding [GO:0008017]; tubulin binding [GO:0015631]
Q03164	Q03164	reviewed	KMT2A_HUMAN	Histone-lysine N-methyltransferase 2A (Lysine N-methyltransferase 2A) (EC 2.1.1.364) (ALL-1) (CXXC-type zinc finger protein 7) (Cysteine methyltransferase KMT2A) (EC 2.1.1.-) (Myeloid/lymphoid or mixed-lineage leukemia) (Myeloid/lymphoid or mixed-lineage leukemia protein 1) (Trithorax-like protein) (Zinc finger protein HRX) [Cleaved into: MLL cleavage product N320 (N-terminal cleavage product of 320 kDa) (p320); MLL cleavage product C180 (C-terminal cleavage product of 180 kDa) (p180)]	KMT2A ALL1 CXXC7 HRX HTRX MLL MLL1 TRX1	Homo sapiens (Human)	anterior/posterior pattern specification [GO:0009952]; apoptotic process [GO:0006915]; cellular response to transforming growth factor beta stimulus [GO:0071560]; circadian regulation of gene expression [GO:0032922]; definitive hemopoiesis [GO:0060216]; DNA methylation [GO:0006306]; embryonic hemopoiesis [GO:0035162]; epigenetic regulation of gene expression [GO:0040029]; exploration behavior [GO:0035640]; fibroblast proliferation [GO:0048144]; homeostasis of number of cells within a tissue [GO:0048873]; membrane depolarization [GO:0051899]; negative regulation of fibroblast proliferation [GO:0048147]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; post-embryonic development [GO:0009791]; protein modification process [GO:0036211]; protein-containing complex assembly [GO:0065003]; regulation of short-term neuronal synaptic plasticity [GO:0048172]; response to potassium ion [GO:0035864]; spleen development [GO:0048536]; T-helper 2 cell differentiation [GO:0045064]; transcription initiation-coupled chromatin remodeling [GO:0045815]; visual learning [GO:0008542]	GO:0003680; GO:0003682; GO:0005634; GO:0005654; GO:0005829; GO:0006306; GO:0006915; GO:0008270; GO:0008542; GO:0009791; GO:0009952; GO:0032922; GO:0035097; GO:0035162; GO:0035640; GO:0035864; GO:0036211; GO:0040029; GO:0042800; GO:0042802; GO:0042803; GO:0045064; GO:0045322; GO:0045815; GO:0045893; GO:0045944; GO:0048144; GO:0048147; GO:0048172; GO:0048536; GO:0048873; GO:0051899; GO:0060216; GO:0065003; GO:0070577; GO:0071339; GO:0071560; GO:0106363; GO:0140945; GO:0140999	3D-structure;Acetylation;Alternative splicing;Apoptosis;Biological rhythms;Bromodomain;Chromatin regulator;Chromosomal rearrangement;Direct protein sequencing;DNA-binding;Host-virus interaction;Isopeptide bond;Metal-binding;Methylation;Methyltransferase;Nucleus;Phosphoprotein;Proto-oncogene;Reference proteome;Repeat;S-adenosyl-L-methionine;Transcription;Transcription regulation;Transferase;Ubl conjugation;Zinc;Zinc-finger	cytosol [GO:0005829]; histone methyltransferase complex [GO:0035097]; MLL1 complex [GO:0071339]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	chromatin binding [GO:0003682]; histone H3K4 methyltransferase activity [GO:0042800]; histone H3K4 monomethyltransferase activity [GO:0140945]; histone H3K4 trimethyltransferase activity [GO:0140999]; identical protein binding [GO:0042802]; lysine-acetylated histone binding [GO:0070577]; minor groove of adenine-thymine-rich DNA binding [GO:0003680]; protein homodimerization activity [GO:0042803]; protein-cysteine methyltransferase activity [GO:0106363]; unmethylated CpG binding [GO:0045322]; zinc ion binding [GO:0008270]
Q8N6M6	Q8N6M6	reviewed	AMPO_HUMAN	Aminopeptidase O (AP-O) (EC 3.4.11.-)	AOPEP C9orf3 ONPEP	Homo sapiens (Human)	proteolysis [GO:0006508]	GO:0005730; GO:0005829; GO:0006508; GO:0008270; GO:0070006	Alternative splicing;Aminopeptidase;Cytoplasm;Disease variant;Dystonia;Hydrolase;Metal-binding;Metalloprotease;Nucleus;Protease;Reference proteome;Zinc	cytosol [GO:0005829]; nucleolus [GO:0005730]	metalloaminopeptidase activity [GO:0070006]; zinc ion binding [GO:0008270]
Q9C0C7	Q9C0C7	reviewed	AMRA1_HUMAN	Activating molecule in BECN1-regulated autophagy protein 1 (DDB1- and CUL4-associated factor 3)	AMBRA1 DCAF3 KIAA1736	Homo sapiens (Human)	autophagosome assembly [GO:0000045]; autophagy [GO:0006914]; autophagy of mitochondrion [GO:0000422]; cell cycle [GO:0007049]; cell differentiation [GO:0030154]; cellular response to starvation [GO:0009267]; mitophagy [GO:0000423]; negative regulation of cardiac muscle cell apoptotic process [GO:0010667]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of neuron apoptotic process [GO:0043524]; neural tube development [GO:0021915]; positive regulation of autophagy [GO:0010508]; positive regulation of free ubiquitin chain polymerization [GO:1904544]; positive regulation of mitophagy [GO:1901526]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; positive regulation of protein dephosphorylation [GO:0035307]; positive regulation of regulatory T cell differentiation [GO:0045591]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein polyubiquitination [GO:0000209]; regulation of G1/S transition of mitotic cell cycle [GO:2000045]; regulation of transcription by RNA polymerase II [GO:0006357]; response to mitochondrial depolarisation [GO:0098780]	GO:0000045; GO:0000209; GO:0000422; GO:0000423; GO:0005634; GO:0005737; GO:0005739; GO:0005741; GO:0005776; GO:0005783; GO:0005829; GO:0005856; GO:0005925; GO:0005930; GO:0006357; GO:0006914; GO:0007049; GO:0008285; GO:0009267; GO:0010508; GO:0010667; GO:0019903; GO:0021915; GO:0030154; GO:0031625; GO:0035307; GO:0043161; GO:0043231; GO:0043524; GO:0045335; GO:0045591; GO:0048471; GO:0051020; GO:0051897; GO:0080008; GO:0098780; GO:1901526; GO:1904544; GO:1990756; GO:2000045	Alternative splicing;Autophagy;Cell cycle;Cell junction;Cytoplasm;Cytoplasmic vesicle;Cytoskeleton;Developmental protein;Differentiation;Endoplasmic reticulum;Isopeptide bond;Methylation;Mitochondrion;Neurogenesis;Nucleus;Phosphoprotein;Reference proteome;Repeat;Transcription;Transcription regulation;Tumor suppressor;Ubl conjugation;Ubl conjugation pathway;WD repeat	autophagosome [GO:0005776]; axoneme [GO:0005930]; Cul4-RING E3 ubiquitin ligase complex [GO:0080008]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; focal adhesion [GO:0005925]; intracellular membrane-bounded organelle [GO:0043231]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; phagocytic vesicle [GO:0045335]	GTPase binding [GO:0051020]; protein phosphatase binding [GO:0019903]; ubiquitin ligase-substrate adaptor activity [GO:1990756]; ubiquitin protein ligase binding [GO:0031625]
Q28CQ7	Q28CQ7	reviewed	SUV92_XENTR	Histone-lysine N-methyltransferase SUV39H2 (EC 2.1.1.355) (Suppressor of variegation 3-9 homolog 2) (Su(var)3-9 homolog 2)	suv39h2 TEgg055l20.1	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	cell cycle [GO:0007049]; cell differentiation [GO:0030154]; methylation [GO:0032259]	GO:0000775; GO:0005634; GO:0007049; GO:0008270; GO:0030154; GO:0032259; GO:0140949	Cell cycle;Centromere;Chromatin regulator;Chromosome;Differentiation;Metal-binding;Methyltransferase;Nucleus;Reference proteome;Repressor;S-adenosyl-L-methionine;Transcription;Transcription regulation;Transferase;Zinc	chromosome, centromeric region [GO:0000775]; nucleus [GO:0005634]	histone H3K9 trimethyltransferase activity [GO:0140949]; zinc ion binding [GO:0008270]
P11029	P11029	reviewed	ACAC_CHICK	Acetyl-CoA carboxylase (ACC) (EC 6.4.1.2) [Includes: Biotin carboxylase (EC 6.3.4.14)]	ACAC	Gallus gallus (Chicken)	epigenetic regulation of gene expression [GO:0040029]; fatty acid biosynthetic process [GO:0006633]; malonyl-CoA biosynthetic process [GO:2001295]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of gene expression [GO:0010628]; regulation of biological quality [GO:0065008]; response to carbohydrate [GO:0009743]; response to fatty acid [GO:0070542]; response to thyroid hormone [GO:0097066]; transport [GO:0006810]	GO:0003989; GO:0004075; GO:0005102; GO:0005524; GO:0005737; GO:0005739; GO:0006633; GO:0006810; GO:0009374; GO:0009743; GO:0010628; GO:0032810; GO:0040029; GO:0045893; GO:0046872; GO:0046966; GO:0050692; GO:0065008; GO:0070542; GO:0097066; GO:2001295	Acetylation;ATP-binding;Biotin;Cytoplasm;Direct protein sequencing;Fatty acid biosynthesis;Fatty acid metabolism;Ligase;Lipid biosynthesis;Lipid metabolism;Manganese;Metal-binding;Multifunctional enzyme;Nucleotide-binding;Phosphoprotein;Reference proteome	cytoplasm [GO:0005737]; mitochondrion [GO:0005739]	acetyl-CoA carboxylase activity [GO:0003989]; ATP binding [GO:0005524]; biotin binding [GO:0009374]; biotin carboxylase activity [GO:0004075]; DNA binding domain binding [GO:0050692]; metal ion binding [GO:0046872]; nuclear thyroid hormone receptor binding [GO:0046966]; signaling receptor binding [GO:0005102]; sterol response element binding [GO:0032810]
Q13085	Q13085	reviewed	ACACA_HUMAN	Acetyl-CoA carboxylase 1 (ACC1) (EC 6.4.1.2) (Acetyl-Coenzyme A carboxylase alpha) (ACC-alpha)	ACACA ACAC ACC1 ACCA	Homo sapiens (Human)	acetyl-CoA metabolic process [GO:0006084]; cellular response to prostaglandin E stimulus [GO:0071380]; fatty acid biosynthetic process [GO:0006633]; fatty-acyl-CoA biosynthetic process [GO:0046949]; lipid homeostasis [GO:0055088]; malonyl-CoA biosynthetic process [GO:2001295]; protein homotetramerization [GO:0051289]; protein metabolic process [GO:0019538]; tissue homeostasis [GO:0001894]	GO:0001650; GO:0001894; GO:0003989; GO:0005524; GO:0005739; GO:0005829; GO:0006084; GO:0006633; GO:0015629; GO:0019538; GO:0042802; GO:0046872; GO:0046949; GO:0051289; GO:0055088; GO:0071380; GO:2001295	3D-structure;Acetylation;Allosteric enzyme;Alternative promoter usage;ATP-binding;Biotin;Cytoplasm;Direct protein sequencing;Fatty acid biosynthesis;Fatty acid metabolism;Ligase;Lipid biosynthesis;Lipid metabolism;Magnesium;Manganese;Metal-binding;Multifunctional enzyme;Nucleotide-binding;Phosphoprotein;Reference proteome	actin cytoskeleton [GO:0015629]; cytosol [GO:0005829]; fibrillar center [GO:0001650]; mitochondrion [GO:0005739]	acetyl-CoA carboxylase activity [GO:0003989]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]
Q8CGN4	Q8CGN4	reviewed	BCOR_MOUSE	BCL-6 corepressor (BCoR)	Bcor Kiaa1575	Mus musculus (Mouse)	blastocyst hatching [GO:0001835]; chromatin remodeling [GO:0006338]; heart development [GO:0007507]; negative regulation of bone mineralization [GO:0030502]; negative regulation of tooth mineralization [GO:0070171]; negative regulation of transcription by RNA polymerase II [GO:0000122]; odontogenesis [GO:0042476]; roof of mouth development [GO:0060021]; specification of axis polarity [GO:0065001]	GO:0000122; GO:0000976; GO:0000977; GO:0001835; GO:0003714; GO:0004842; GO:0005634; GO:0005654; GO:0006338; GO:0007507; GO:0030502; GO:0031072; GO:0042476; GO:0042826; GO:0060021; GO:0065001; GO:0070171; GO:0140261; GO:0140297	Acetylation;Alternative splicing;ANK repeat;Chromatin regulator;Isopeptide bond;Nucleus;Phosphoprotein;Reference proteome;Repeat;Repressor;Transcription;Transcription regulation;Ubl conjugation	BCOR complex [GO:0140261]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	DNA-binding transcription factor binding [GO:0140297]; heat shock protein binding [GO:0031072]; histone deacetylase binding [GO:0042826]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; transcription cis-regulatory region binding [GO:0000976]; transcription corepressor activity [GO:0003714]; ubiquitin-protein transferase activity [GO:0004842]
Q9Y573	Q9Y573	reviewed	IPP_HUMAN	Actin-binding protein IPP (Intracisternal A particle-promoted polypeptide) (IPP) (Kelch-like protein 27)	IPP KLHL27	Homo sapiens (Human)		GO:0003779; GO:0005737; GO:0015629	Actin-binding;Alternative splicing;Cytoplasm;Cytoskeleton;Kelch repeat;Reference proteome;Repeat	actin cytoskeleton [GO:0015629]; cytoplasm [GO:0005737]	actin binding [GO:0003779]
P51111	P51111	reviewed	HD_RAT	Huntingtin (Huntington disease protein homolog) (HD protein homolog) [Cleaved into: Huntingtin, myristoylated N-terminal fragment]	Htt Hd Hdh	Rattus norvegicus (Rat)	anatomical structure morphogenesis [GO:0009653]; anterior/posterior pattern specification [GO:0009952]; associative learning [GO:0008306]; axo-dendritic transport [GO:0008088]; brain development [GO:0007420]; cellular senescence [GO:0090398]; central nervous system development [GO:0007417]; citrulline metabolic process [GO:0000052]; determination of adult lifespan [GO:0008340]; dopamine receptor signaling pathway [GO:0007212]; endoplasmic reticulum organization [GO:0007029]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; endosomal transport [GO:0016197]; establishment of mitotic spindle orientation [GO:0000132]; gastrulation [GO:0007369]; Golgi organization [GO:0007030]; grooming behavior [GO:0007625]; hormone metabolic process [GO:0042445]; insulin secretion [GO:0030073]; lactate biosynthetic process from pyruvate [GO:0019244]; learning [GO:0007612]; learning or memory [GO:0007611]; locomotory behavior [GO:0007626]; microtubule depolymerization [GO:0007019]; microtubule-based transport [GO:0099111]; mitochondrial transport [GO:0006839]; mitochondrion organization [GO:0007005]; mRNA transport [GO:0051028]; multicellular organismal-level iron ion homeostasis [GO:0060586]; negative regulation of apoptotic process [GO:0043066]; negative regulation of extrinsic apoptotic signaling pathway [GO:2001237]; neural plate formation [GO:0021990]; neurogenesis [GO:0022008]; neuron development [GO:0048666]; olfactory lobe development [GO:0021988]; paraxial mesoderm formation [GO:0048341]; peptide hormone secretion [GO:0030072]; positive regulation of aggrephagy [GO:1905337]; positive regulation of apoptotic process [GO:0043065]; positive regulation of autophagy of mitochondrion [GO:1903599]; positive regulation of cilium assembly [GO:0045724]; positive regulation of lipophagy [GO:1904504]; positive regulation of motile cilium assembly [GO:1905505]; positive regulation of non-motile cilium assembly [GO:1902857]; postsynapse to nucleus signaling pathway [GO:0099527]; protein destabilization [GO:0031648]; protein localization to centrosome [GO:0071539]; protein localization to nucleus [GO:0034504]; quinolinate biosynthetic process [GO:0019805]; regulation of CAMKK-AMPK signaling cascade [GO:1905289]; regulation of gene expression [GO:0010468]; regulation of intracellular mRNA localization [GO:1904580]; regulation of neuron apoptotic process [GO:0043523]; regulation of protein localization to nucleus [GO:1900180]; regulation of synaptic plasticity [GO:0048167]; response to calcium ion [GO:0051592]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]; social behavior [GO:0035176]; spermatogenesis [GO:0007283]; striatum development [GO:0021756]; urea cycle [GO:0000050]; vesicle transport along microtubule [GO:0047496]; visual learning [GO:0008542]; vocal learning [GO:0042297]	GO:0000050; GO:0000052; GO:0000132; GO:0002039; GO:0005102; GO:0005522; GO:0005634; GO:0005737; GO:0005769; GO:0005770; GO:0005776; GO:0005783; GO:0005794; GO:0005814; GO:0006839; GO:0006888; GO:0006890; GO:0007005; GO:0007019; GO:0007029; GO:0007030; GO:0007212; GO:0007283; GO:0007369; GO:0007417; GO:0007420; GO:0007611; GO:0007612; GO:0007625; GO:0007626; GO:0008088; GO:0008306; GO:0008340; GO:0008542; GO:0009653; GO:0009952; GO:0010468; GO:0016197; GO:0016234; GO:0019244; GO:0019805; GO:0019900; GO:0021756; GO:0021988; GO:0021990; GO:0022008; GO:0030072; GO:0030073; GO:0030136; GO:0030424; GO:0030425; GO:0030659; GO:0031072; GO:0031410; GO:0031648; GO:0032991; GO:0034452; GO:0034504; GO:0035176; GO:0042297; GO:0042445; GO:0042802; GO:0043025; GO:0043065; GO:0043066; GO:0043523; GO:0044325; GO:0045505; GO:0045724; GO:0047496; GO:0048167; GO:0048341; GO:0048471; GO:0048487; GO:0048666; GO:0050809; GO:0051028; GO:0051592; GO:0060586; GO:0071539; GO:0071598; GO:0090398; GO:0097060; GO:0098978; GO:0099111; GO:0099523; GO:0099524; GO:0099527; GO:1900180; GO:1902857; GO:1903599; GO:1904504; GO:1904580; GO:1905289; GO:1905337; GO:1905505; GO:2001237	Acetylation;Cytoplasm;Cytoplasmic vesicle;Direct protein sequencing;Lipoprotein;Myristate;Nucleus;Phosphoprotein;Reference proteome;Repeat	autophagosome [GO:0005776]; axon [GO:0030424]; centriole [GO:0005814]; clathrin-coated vesicle [GO:0030136]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytoplasmic vesicle membrane [GO:0030659]; dendrite [GO:0030425]; early endosome [GO:0005769]; endoplasmic reticulum [GO:0005783]; glutamatergic synapse [GO:0098978]; Golgi apparatus [GO:0005794]; inclusion body [GO:0016234]; late endosome [GO:0005770]; neuronal cell body [GO:0043025]; neuronal ribonucleoprotein granule [GO:0071598]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; postsynaptic cytosol [GO:0099524]; presynaptic cytosol [GO:0099523]; protein-containing complex [GO:0032991]; synaptic membrane [GO:0097060]	beta-tubulin binding [GO:0048487]; diazepam binding [GO:0050809]; dynactin binding [GO:0034452]; dynein intermediate chain binding [GO:0045505]; heat shock protein binding [GO:0031072]; identical protein binding [GO:0042802]; kinase binding [GO:0019900]; p53 binding [GO:0002039]; profilin binding [GO:0005522]; signaling receptor binding [GO:0005102]; transmembrane transporter binding [GO:0044325]
P55201	P55201	reviewed	BRPF1_HUMAN	Peregrin (Bromodomain and PHD finger-containing protein 1) (Protein Br140)	BRPF1 BR140	Homo sapiens (Human)	chromatin remodeling [GO:0006338]; positive regulation of DNA-templated transcription [GO:0045893]; regulation of developmental process [GO:0050793]; regulation of DNA-templated transcription [GO:0006355]; regulation of hemopoiesis [GO:1903706]; regulation of transcription by RNA polymerase II [GO:0006357]	GO:0000123; GO:0003677; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005886; GO:0006338; GO:0006355; GO:0006357; GO:0010698; GO:0045893; GO:0046872; GO:0050793; GO:0070776; GO:1903706	3D-structure;Acetylation;Activator;Alternative splicing;Bromodomain;Chromatin regulator;Chromosome;Cytoplasm;Disease variant;DNA-binding;Intellectual disability;Metal-binding;Nucleus;Phosphoprotein;Reference proteome;Repeat;Transcription;Transcription regulation;Zinc;Zinc-finger	cytoplasm [GO:0005737]; cytosol [GO:0005829]; histone acetyltransferase complex [GO:0000123]; MOZ/MORF histone acetyltransferase complex [GO:0070776]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	acetyltransferase activator activity [GO:0010698]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]
P11369	P11369	reviewed	LORF2_MOUSE	LINE-1 retrotransposable element ORF2 protein (ORF2p) (Long interspersed element-1) (L1) (Retrovirus-related Pol polyprotein LINE-1) [Includes: Reverse transcriptase (EC 2.7.7.49); Endonuclease (EC 3.1.21.-)]	Pol Gm17492	Mus musculus (Mouse)	DNA recombination [GO:0006310]	GO:0003964; GO:0004519; GO:0006310; GO:0046872	Direct protein sequencing;DNA recombination;Endonuclease;Hydrolase;Magnesium;Metal-binding;Multifunctional enzyme;Nuclease;Nucleotidyltransferase;Reference proteome;RNA-directed DNA polymerase;Transferase		endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]; RNA-directed DNA polymerase activity [GO:0003964]
Q9Z2G0	Q9Z2G0	reviewed	FEM1B_MOUSE	Protein fem-1 homolog B (FEM1b) (FEM1-beta) (Fem-1-like death receptor-binding protein alpha) (Fem-1-like in apoptotic pathway protein alpha) (F1A-alpha) (mt-Fem)	Fem1b F1aa Kiaa0396	Mus musculus (Mouse)	apoptotic process [GO:0006915]; branching involved in prostate gland morphogenesis [GO:0060442]; epithelial cell maturation [GO:0002070]; epithelial cell maturation involved in prostate gland development [GO:0060743]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein ubiquitination [GO:0016567]; regulation of DNA damage checkpoint [GO:2000001]; regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902041]; ubiquitin-dependent protein catabolic process via the C-end degron rule pathway [GO:0140627]	GO:0002070; GO:0005123; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0006915; GO:0016567; GO:0031462; GO:0043161; GO:0060442; GO:0060743; GO:0140627; GO:1902041; GO:1990756; GO:2000001	3D-structure;ANK repeat;Apoptosis;Cytoplasm;Nucleus;Reference proteome;Repeat;TPR repeat;Ubl conjugation pathway	Cul2-RING ubiquitin ligase complex [GO:0031462]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	death receptor binding [GO:0005123]; ubiquitin ligase-substrate adaptor activity [GO:1990756]
P29144	P29144	reviewed	TPP2_HUMAN	Tripeptidyl-peptidase 2 (TPP-2) (EC 3.4.14.10) (Tripeptidyl aminopeptidase) (Tripeptidyl-peptidase II) (TPP-II)	TPP2	Homo sapiens (Human)	intracellular amino acid homeostasis [GO:0080144]; protein polyubiquitination [GO:0000209]; proteolysis [GO:0006508]	GO:0000209; GO:0004175; GO:0004177; GO:0004252; GO:0005654; GO:0005737; GO:0005829; GO:0006508; GO:0008240; GO:0016604; GO:0042802; GO:0080144	Acetylation;Aminopeptidase;Cytoplasm;Direct protein sequencing;Disease variant;Hydrolase;Nucleus;Phosphoprotein;Protease;Reference proteome;Serine protease	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]	aminopeptidase activity [GO:0004177]; endopeptidase activity [GO:0004175]; identical protein binding [GO:0042802]; serine-type endopeptidase activity [GO:0004252]; tripeptidyl-peptidase activity [GO:0008240]
Q6PBD6	Q6PBD6	reviewed	SKI8_XENTR	Superkiller complex protein 8 (Ski8) (WD repeat-containing protein 61)	skic8 wdr61	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay [GO:0070478]; rescue of stalled ribosome [GO:0072344]; transcription elongation by RNA polymerase II [GO:0006368]	GO:0000791; GO:0005634; GO:0005737; GO:0006368; GO:0016593; GO:0055087; GO:0070478; GO:0072344	Cytoplasm;Nucleus;Reference proteome;Repeat;WD repeat	Cdc73/Paf1 complex [GO:0016593]; cytoplasm [GO:0005737]; euchromatin [GO:0000791]; nucleus [GO:0005634]; Ski complex [GO:0055087]	
